Species,MolarMass,Omega,Tc,Pc,Zc,Vc,Tn
air,28.851,0.035,132.2,37.45,0.289,84.8,0
chlorine,70.905,0.069,417.2,77.1,0.265,124,239.1
carbon monoxide,28.01,0.048,132.9,34.99,0.299,93.4,81.7
carbon dioxide,44.01,0.224,304.2,73.83,0.274,94,0
carbon disulfide,76.143,0.111,552,79,0.275,160,319.4
hydrogen sulfide,34.082,0.094,373.5,89.63,0.284,98.5,212.8
sulfur dioxide,64.065,0.245,430.8,78.84,0.269,122,263.1
sulfur trioxide,80.064,0.424,490.9,82.1,0.255,127,317.9
nitric oxide,30.006,0.583,180.2,64.8,0.251,58,121.4
nitrous oxide,44.013,0.141,309.6,72.45,0.274,97.4,184.7
hydrogen chloride,36.461,0.132,324.7,83.1,0.249,81,188.2
hydrogen cyanide,27.026,0.41,456.7,53.9,0.197,139,298.9
water,18.015,0.345,647.1,220.55,0.229,55.9,373.2
ammonia,17.031,0.253,405.7,112.8,0.242,72.5,239.7
nitric acid,63.013,0.714,520,68.9,0.231,145,356.2
sulfuric acid,98.08,0,924,64,0.147,177,610
